               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11141,            0.038199,            0.041674,           0.0022371,            0.027778,           0.0066883,           0.0020065,            0.099359,            0.034254,            0.037964,              0.0793,              0.0023,              0.0023
                   1,            0.098151,            0.036817,            0.037255,           0.0019235,             0.19444,           0.0032423,           0.0008296,            0.089709,            0.034716,            0.035106,            0.057514,           0.0045139,           0.0045139
                   2,            0.090253,            0.044235,            0.033325,           0.0039915,              0.2963,            0.024843,           0.0057663,            0.083227,             0.03546,            0.032761,            0.035538,           0.0065377,           0.0065377
                   3,            0.082796,            0.040361,            0.031209,           0.0048145,            0.055556,           0.0062787,           0.0016338,            0.085934,            0.032249,            0.031413,            0.013371,           0.0083714,           0.0083714
                   4,            0.080615,             0.03778,            0.028111,             0.39802,             0.11111,            0.061398,            0.015454,            0.078986,            0.031576,            0.028393,            0.008416,            0.008416,            0.008416
                   5,            0.076814,            0.036577,            0.025613,             0.50492,            0.083333,            0.067487,            0.022671,            0.076471,            0.030983,            0.025884,            0.008416,            0.008416,            0.008416
                   6,            0.074209,            0.035653,            0.021066,             0.80033,             0.13889,              0.1306,            0.034034,            0.077903,            0.032519,            0.023106,             0.00802,             0.00802,             0.00802
                   7,            0.070751,            0.036019,            0.020227,             0.42072,                0.25,            0.079063,            0.022607,             0.07724,            0.032292,            0.024721,            0.007624,            0.007624,            0.007624
                   8,             0.07009,            0.037363,            0.018544,             0.46523,             0.19444,             0.12536,            0.043143,            0.070202,            0.032168,            0.025412,            0.007228,            0.007228,            0.007228
                   9,            0.067792,            0.034266,            0.015781,              0.7826,             0.13889,             0.20389,            0.070545,            0.069347,            0.030451,             0.02786,            0.006832,            0.006832,            0.006832
                  10,            0.065078,            0.034708,            0.014394,             0.66467,              0.2283,             0.24005,            0.083809,            0.068289,            0.030652,            0.028515,            0.006436,            0.006436,            0.006436
                  11,            0.063381,            0.033851,            0.012521,              0.7525,             0.22222,             0.27112,             0.10339,            0.064235,            0.030047,            0.026134,             0.00604,             0.00604,             0.00604
                  12,            0.061939,            0.033843,            0.011467,              0.6956,             0.31325,             0.30321,             0.11298,             0.06212,            0.030784,            0.024593,            0.005644,            0.005644,            0.005644
                  13,            0.060973,            0.032847,            0.010605,             0.84219,             0.27635,             0.29957,            0.092512,            0.064591,            0.030877,            0.028773,            0.005248,            0.005248,            0.005248
                  14,            0.059312,            0.033704,           0.0096475,              0.6805,             0.24508,             0.21963,            0.067182,            0.064396,            0.031908,             0.02734,            0.004852,            0.004852,            0.004852
                  15,            0.057318,            0.031851,            0.009611,             0.70121,             0.22222,             0.26424,             0.10186,            0.065839,            0.031207,            0.025765,            0.004456,            0.004456,            0.004456
                  16,            0.057224,            0.033047,           0.0086342,              0.7983,             0.27778,                0.32,             0.13832,            0.065095,            0.028601,            0.023684,             0.00406,             0.00406,             0.00406
                  17,            0.054647,            0.032407,           0.0089732,             0.58366,             0.36111,             0.29144,             0.13475,            0.064117,            0.028264,            0.022999,            0.003664,            0.003664,            0.003664
                  18,            0.054752,            0.030609,           0.0085971,             0.85423,             0.21639,             0.30947,             0.11892,            0.062769,             0.03025,            0.019117,            0.003268,            0.003268,            0.003268
                  19,            0.053254,             0.03186,           0.0078275,              0.7355,                0.25,             0.27743,             0.11416,             0.06383,            0.031562,            0.024109,            0.002872,            0.002872,            0.002872
                  20,            0.053326,            0.032007,           0.0070107,             0.28978,             0.31867,             0.28804,             0.12129,            0.064686,            0.031099,            0.021034,            0.002476,            0.002476,            0.002476
                  21,            0.051607,              0.0313,           0.0071233,              0.7934,                0.25,             0.26298,             0.12168,             0.06476,            0.032293,            0.019271,             0.00208,             0.00208,             0.00208
                  22,            0.051101,            0.028814,           0.0067413,             0.74558,             0.22222,              0.2509,             0.11606,            0.067011,             0.03112,            0.020682,            0.001684,            0.001684,            0.001684
                  23,            0.050971,            0.030576,           0.0060212,             0.28897,             0.36188,              0.2908,             0.12285,            0.065451,            0.030893,            0.022146,            0.001288,            0.001288,            0.001288
                  24,            0.049765,            0.029098,           0.0064561,             0.30749,             0.35185,             0.30571,             0.12673,            0.063686,            0.030802,            0.021342,            0.000892,            0.000892,            0.000892
